id;nom_voie;id_fantoir;numero;rep;code_insee;code_post;alias;nom_ld;nom_afnor;libelle_acheminement;x;y;lon;lat;nom_commune
ADRNIVX_0000000265767776;rue bernadette;0050;34;"";54084;54111;"";"";RUE BERNADETTE;MONT BONVILLERS;906010.7;6917261.7;5.83358960752515;49.3216677519658;Mont-Bonvillers
ADRNIVX_0000000265767270;rue bernadette;0050;10;"";54084;54111;"";"";RUE BERNADETTE;MONT BONVILLERS;906035.4;6917302.4;5.83394913678166;49.3220254076007;Mont-Bonvillers
ADRNIVX_0000000265767778;rue bernadette;0050;38;"";54084;54111;"";"";RUE BERNADETTE;MONT BONVILLERS;906006.5;6917254.4;5.83352828633278;49.3216035280554;Mont-Bonvillers
ADRNIVX_0000000265767773;rue bernadette;0050;28;"";54084;54111;"";"";RUE BERNADETTE;MONT BONVILLERS;906012.5;6917269.6;5.83361824221065;49.3217381398801;Mont-Bonvillers
ADRNIVX_0000000265767783;rue bernadette;0050;48;"";54084;54111;"";"";RUE BERNADETTE;MONT BONVILLERS;906012.5;6917269.6;5.83361824221065;49.3217381398801;Mont-Bonvillers
ADRNIVX_0000000265767771;rue bernadette;0050;24;"";54084;54111;"";"";RUE BERNADETTE;MONT BONVILLERS;906018.6;6917280.5;5.83370745123171;49.3218340909875;Mont-Bonvillers
ADRNIVX_0000000265767267;rue bernadette;0050;4;"";54084;54111;"";"";RUE BERNADETTE;MONT BONVILLERS;906037.6;6917312.6;5.83398440423785;49.3221163280654;Mont-Bonvillers
ADRNIVX_0000000265767763;rue bernadette;0050;1;"";54084;54111;"";"";RUE BERNADETTE;MONT BONVILLERS;906003.5;6917277.5;5.83349845465125;49.3218120108504;Mont-Bonvillers
ADRNIVX_0000000265767781;rue bernadette;0050;44;"";54084;54111;"";"";RUE BERNADETTE;MONT BONVILLERS;906000.8;6917243.4;5.83344452579961;49.321506549461;Mont-Bonvillers
ADRNIVX_0000000358888911;rue de bonvillers;0060;2;"";54084;54111;"";"";RUE DE BONVILLERS;MONT BONVILLERS;906438.8;6917325.8;5.8395045626864;49.3221053737533;Mont-Bonvillers
ADRNIVX_0000000265767166;rue de bonvillers;0060;3;B;54084;54111;"";"";RUE DE BONVILLERS;MONT BONVILLERS;906389.8;6917346.7;5.83884149359939;49.3223089591275;Mont-Bonvillers
