uid_adresse;cle_interop;commune_insee;commune_nom;commune_deleguee_insee;commune_deleguee_nom;voie_nom;lieudit_complement_nom;numero;suffixe;position;x;y;long;lat;cad_parcelles;source;date_der_maj;certification_commune
;54084_0120_00036;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;36;;entrée;905803.24;6917913.95;5.83106;49.327594;;inconnue;;0
;54084_0120_00037;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;37;;entrée;905789.39;6917910.45;5.830868;49.327567;;inconnue;;0
;54084_0120_00038;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;38;;entrée;905783.2;6917908.67;5.830782;49.327553;;inconnue;;0
;54084_0120_00039;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;39;;entrée;905771.49;6917904.46;5.830619;49.327519;;inconnue;;0
;54084_0120_00040;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;40;;entrée;905762.99;6917902.04;5.830501;49.3275;;inconnue;;0
;54084_0120_00041;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;41;;entrée;905746.31;6917896.44;5.830269;49.327455;;inconnue;;0
;54084_0120_00043;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;43;;entrée;905727.72;6917889.53;5.83001;49.327399;;inconnue;;0
;54084_0120_00044;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;44;;entrée;905718.01;6917886.4;5.829875;49.327374;;inconnue;;0
;54084_0120_00045;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;45;;entrée;905705.5;6917882.17;5.829701;49.32734;;inconnue;;0
;54084_0120_00046;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;46;;entrée;905698.52;6917880.03;5.829604;49.327323;;inconnue;;0
;54084_0120_00047;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;47;;entrée;905683.42;6917874.92;5.829394;49.327282;;inconnue;;0
;54084_0120_00048;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;48;;;905679.06;6917866.75;5.82933;49.32721;;arcep;;0
;54084_0120_00049;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;49;;entrée;905660.99;6917867.44;5.829082;49.327222;;inconnue;;0
;54084_0120_00050;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;50;;entrée;905652.51;6917864.46;5.828964;49.327198;;inconnue;;0
;54084_0120_00051;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;51;;entrée;905639.87;6917860;5.828788;49.327162;;inconnue;;0
;54084_0120_00052;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;52;;entrée;905629.89;6917856.19;5.828649;49.327131;;inconnue;;0
;54084_0270_00001;54084;Mont-Bonvillers;;;Rue de la République;;1;;segment;906088.22;6917814.98;5.834928;49.326613;;inconnue;;0
;54084_0270_00002;54084;Mont-Bonvillers;;;Rue de la République;;2;;entrée;906076.37;6917814.66;5.834765;49.326614;;inconnue;;0
;54084_0270_00003;54084;Mont-Bonvillers;;;Rue de la République;;3;;segment;906088.22;6917814.98;5.834928;49.326613;;inconnue;;0
;54084_0270_00004;54084;Mont-Bonvillers;;;Rue de la République;;4;;entrée;906073.51;6917821.24;5.834729;49.326674;;inconnue;;0
;54084_0270_00005;54084;Mont-Bonvillers;;;Rue de la République;;5;;entrée;906053.88;6917879.53;5.834488;49.327204;;inconnue;;0
;54084_0270_00006;54084;Mont-Bonvillers;;;Rue de la République;;6;;segment;906061.98;6917844.65;5.834582;49.326888;;inconnue;;0
;54084_0270_00007;54084;Mont-Bonvillers;;;Rue de la République;;7;;entrée;906045.47;6917895.04;5.83438;49.327346;;inconnue;;0
;54084_0270_00008;54084;Mont-Bonvillers;;;Rue de la République;;8;;entrée;906018.91;6917923.36;5.834029;49.327609;;inconnue;;0
;54084_0270_00009;54084;Mont-Bonvillers;;;Rue de la République;;9;;entrée;906033.92;6917914.88;5.834231;49.327528;;inconnue;;0
;54084_0270_00011;54084;Mont-Bonvillers;;;Rue de la République;;11;;segment;906002.31;6917974.41;5.833826;49.328073;;inconnue;;0
;54084_0270_00012;54084;Mont-Bonvillers;;;Rue de la République;;12;;entrée;906010.27;6917939.19;5.833918;49.327754;;inconnue;;0
;54084_0270_00013;54084;Mont-Bonvillers;;;Rue de la République;;13;;segment;906002.31;6917974.41;5.833826;49.328073;;inconnue;;0
